X,Y,Borehole Location,Static Water Level (m),Yield (m3/hr),SOIL_1,SLOPE_1,RAINFALL_1,LULC_1,GEOLOGY_1,AQUIFER_1
35.3117959568627,0.623658644610479,Kuinet Borehole,10.1,8.09,2.5,5,1,1,4,5
35.1550869512553,0.386546383997976,Lelmokwo Borehole,62,8,,,,,,
35.1568280991911,0.35150945072494,Itigo girls high school,24.1,6,,,,,,
35.2190362337842,0.82250704069881,Kimurgoi Community Water Project,18,5.5,2.5,5,1,1,2,2
35.3796566777882,0.55039082372093,Kapteldon Water Project-Eldoret,31.6,5.4,2.5,5,2,3,4,5
35.1671321315285,0.847168280357089,Kapkorren CWP,40.15,4.8,2,5,2,1,2,2
35.3105918547334,0.559922728283809,Chebisaas Boys High,4.38,4.7,2.5,5,2,1,4,5
35.2094260521023,0.812039321505724,Cheplaleibei CWP,7.05,4.5,2,5,2,3,2,2
35.4517553746509,0.741652514814091,Karuna Borehole-Kambi Simba,20.3,3.8,2.5,5,1,1,4,5
35.4216222017704,0.905891672467338,Moiben-Jerusalem Church Borehole,16.8,3.6,4,5,1,3,2,2
35.2115286665808,0.526947389967457,kisor community water project,136,3.5,2.5,5,2,1,2,2
36.0738672385155,0.947510015399612,AIC Ndabarnach,25.44,3.5,,,,,,
35.2708615764964,0.437793034127233,Jasho Primary School-Ngeria,7.46,2.2,1,5,4,1,4,5
35.1899091230336,0.850013674809436,Kapkures Primary School borehole,28.5,2.15,1,5,2,3,2,2
35.2835996218665,0.595916304018962,Kapindani CWP,12.03,2,2.5,5,1,3,4,5
35.2169473169249,0.454655517489446,Kapteldet Dispensary CWP,15,1.5,2.5,5,3,3,2,2
35.241361117019,0.897322447588979,Makongi Village CWP,11,1.5,4,4,1,5,2,2
35.0061607618552,0.607335578715925,Tuigoi Primary School,1.7,1.43,4,5,3,1,2,2
35.270357519931,0.521380843957367,Tipsy Co Ltd Borehole,13.2,0.9,2.5,5,2,1,4,5
0,0,,,,,,,,,
